Name,Dedispersion mode,Bandwidth (MHz),nchan,Minimum Recommended tint (us),Recommended vegas.scale
c0100x0064,Coherent,100,64,10.24,820
c0100x0128,Coherent,100,128,20.48,595
c0100x0256,Coherent,100,256,40.96,1650
c0100x0512,Coherent,100,512,81.92,2355
c0200x0064,Coherent,200,64,5.12,605
c0200x0128,Coherent,200,128,10.24,865
c0200x0256,Coherent,200,256,20.48,620
c0200x0512,Coherent,200,512,40.96,1720
c0200x1024,Coherent,200,1024,81.92,2430
c0800x0032,Coherent,800,32,0.64,375
c0800x0064,Coherent,800,64,1.28,420
c0800x0128,Coherent,800,128,2.56,800
c0800x0256,Coherent,800,256,5.12,940
c0800x0512,Coherent,800,512,10.24,1585
c0800x1024,Coherent,800,1024,20.48,880
c0800x2048,Coherent,800,2048,40.96,3155
c0800x4096,Coherent,800,4096,81.92,4550
c1500x0032,Coherent,1500,32,0.34133,365
c1500x0064,Coherent,1500,64,0.68267,530
c1500x0128,Coherent,1500,128,1.36533,730
c1500x0256,Coherent,1500,256,2.73067,1070
c1500x0512,Coherent,1500,512,5.46133,1450
c1500x1024,Coherent,1500,1024,10.92267,1085
c1500x2048,Coherent,1500,2048,21.84533,300
c1500x4096,Coherent,1500,4096,43.69067,3750
