Name,Dedispersion mode,Bandwidth (MHz),nchan,Minimum Recommended tint (us),Recommended vegas.scale
i0100x0064,Coherent,100,64,10.24,820
i0100x0128,Coherent,100,128,20.48,595
i0100x0256,Coherent,100,256,40.96,1650
i0100x0512,Coherent,100,512,81.92,2355
i0200x0064,Coherent,200,64,5.12,605
i0200x0128,Coherent,200,128,10.24,865
i0200x0256,Coherent,200,256,20.48,620
i0200x0512,Coherent,200,512,40.96,1720
i0200x1024,Coherent,200,1024,81.92,2430
i0800x0032,Coherent,800,32,0.64,375
i0800x0064,Coherent,800,64,1.28,420
i0800x0128,Coherent,800,128,2.56,800
i0800x0256,Coherent,800,256,5.12,940
i0800x0512,Coherent,800,512,10.24,1585
i0800x1024,Coherent,800,1024,20.48,880
i0800x2048,Coherent,800,2048,40.96,3155
i0800x4096,Coherent,800,4096,81.92,4550
i1500x0032,Coherent,1500,32,0.34133,365
i1500x0064,Coherent,1500,64,0.68267,530
i1500x0128,Coherent,1500,128,1.36533,730
i1500x0256,Coherent,1500,256,2.73067,1070
i1500x0512,Coherent,1500,512,5.46133,1450
i1500x1024,Coherent,1500,1024,10.92267,1085
i1500x2048,Coherent,1500,2048,21.84533,300
i1500x4096,Coherent,1500,4096,43.69067,3750
