Name,Dedispersion mode,Bandwidth (MHz),nchan,Minimum Recommended tint (us),Recommended vegas.scale
i0100x0512,Incoherent,100,512,20.48,1875
i0100x1024,Incoherent,100,1024,40.96,4010
i0100x2048,Incoherent,100,2048,81.92,550
i0100x4096,Incoherent,100,4096,163.84,990
i0100x8192,Incoherent,100,8192,327.68,580
i0200x1024,Incoherent,200,1024,20.48,1920
i0200x2048,Incoherent,200,2048,40.96,1030
i0200x4096,Incoherent,200,4096,81.92,540
i0200x8192,Incoherent,200,8192,163.84,1045
i0800x0032,Incoherent,800,32,0.64,14830
i0800x0064,Incoherent,800,64,1.28,7240
i0800x0128,Incoherent,800,128,2.56,14690
i0800x0256,Incoherent,800,256,5.12,7340
i0800x0512,Incoherent,800,512,10.24,15320
i0800x1024,Incoherent,800,1024,20.48,7495
i0800x2048,Incoherent,800,2048,40.96,14300
i0800x4096,Incoherent,800,4096,81.92,7545
i0800x8192,Incoherent,800,8192,81.92,14725
i1500x0032,Incoherent,1500,32,0.34133,14675
i1500x0064,Incoherent,1500,64,0.68267,6835
i1500x0128,Incoherent,1500,128,1.36533,13485
i1500x0256,Incoherent,1500,256,2.73067,6750
i1500x0512,Incoherent,1500,512,5.46133,13345
i1500x1024,Incoherent,1500,1024,10.92267,6655
i1500x2048,Incoherent,1500,2048,21.84533,13035
i1500x4096,Incoherent,1500,4096,43.69067,6595
