fluxcal: using file 
/home/pulsar_rhel7/share/fluxcal.cfg
  Cal source fluxes at 1500 MHz:
    1413+1509:  0.518458 Jy
          SCP:  1.04948 Jy
         3C48:  15.3686 Jy
        3C123:  45.6598 Jy
   J0444-2809:  6.45599 Jy
   J0519-4546:  63.7042 Jy
        3C138:  8.24598 Jy
        3C147:  21.0431 Jy
        3C196:  13.5565 Jy
        3C218:  41.2342 Jy
        3C274:  200.533 Jy
        3C286:  14.5665 Jy
        3C295:  21.2069 Jy
        3C348:  44.3007 Jy
        3C353:  54.58 Jy
        3C380:  12.4738 Jy
        3C405:  1467.31 Jy
        3C444:  8.44595 Jy
        3C190:  2.30913 Jy
    1445+0958:  2.32212 Jy
         3C43:  2.691 Jy
        3C394:  2.71085 Jy
    B2209+080:  1.62809 Jy
      NGC7027:  1.64269 Jy
   PKS1934-63:  14.6665 Jy
   PKS0408-65:  14.3454 Jy
