GBTIDL -> filein, 'Argus_DR21_n2hp_smoothed.raw.vegas'
GBTIDL -> summary
  Scan           Source      Vel    Proc Seq    RestF nIF nInt nFd     Az    El
-------------------------------------------------------------------------------
    10             VANE      0.0   Track   1   93.174   1   10  16   67.3  77.0
    11              SKY      0.0   Track   1   93.174   1   10  16   67.4  77.0
    12             DR21      0.0   Track   1   93.174   1   60  16   66.7  77.2
    13             DR21      0.0   Track   1   93.174   1   60  16   66.4  77.4
    14             DR21      0.0   Track   1   93.174   1   60  16   66.2  77.6
    35             VANE      0.0   Track   1   93.174   1   25  16   57.5  82.1
    36              SKY      0.0   Track   1   93.174   1   25  16   57.5  82.1
    37             DR21      0.0 RALongM   1   93.174   1   75  16   56.0  82.3
    38             DR21      0.0 RALongM   2   93.174   1   75  16   55.7  82.4
    39             DR21      0.0 RALongM   3   93.174   1   75  16   55.1  82.5
    40             DR21      0.0 RALongM   4   93.174   1   75  16   54.7  82.6
    41             DR21      0.0 RALongM   5   93.174   1   75  16   54.1  82.7
    42             DR21      0.0 RALongM   6   93.174   1   75  16   53.7  82.8
    43             DR21      0.0 RALongM   7   93.174   1   75  16   53.0  82.9
    44             DR21      0.0 RALongM   8   93.174   1   75  16   52.6  83.0
    45             DR21      0.0 RALongM   9   93.174   1   75  16   51.9  83.2
    46             DR21      0.0 RALongM  10   93.174   1   75  16   51.4  83.2
    47             DR21      0.0 RALongM  11   93.174   1   75  16   50.6  83.4
    48             DR21      0.0 RALongM  12   93.174   1   75  16   50.2  83.4
    49             DR21      0.0 RALongM  13   93.174   1   75  16   49.3  83.6
    50             DR21      0.0 RALongM  14   93.174   1   75  16   48.8  83.6
    51             DR21      0.0 RALongM  15   93.174   1   75  16   47.9  83.8
    52             DR21      0.0 RALongM  16   93.174   1   75  16   47.4  83.8
    53             DR21      0.0 RALongM  17   93.174   1   75  16   46.4  84.0
    54             DR21      0.0 RALongM  18   93.174   1   75  16   45.8  84.0
    55             DR21      0.0 RALongM  19   93.174   1   75  16   44.8  84.2
    56             DR21      0.0 RALongM  20   93.174   1   75  16   44.2  84.2
    57             DR21      0.0 RALongM  21   93.174   1   75  16   43.1  84.3
    58             DR21      0.0 RALongM  22   93.174   1   75  16   42.4  84.4
    59             DR21      0.0 RALongM  23   93.174   1   75  16   41.2  84.5
    60             DR21      0.0 RALongM  24   93.174   1   75  16   40.5  84.6
    61             VANE      0.0   Track   1   93.174   1   25  16   40.5  84.7
    62              SKY      0.0   Track   1   93.174   1   25  16   40.5  84.7

